"","mtry","splitrule","min.node.size","Accuracy","Kappa","AccuracySD","KappaSD"
"1",2,"gini",1,0.822000392300392,0.0985891368942337,0.00490336613001653,0.0369428616145594
"2",2,"gini",6,0.821099891799892,0.0928325029156118,0.00465625835633134,0.0289817619196912
"3",2,"gini",11,0.820900591100591,0.0900549281634479,0.00603821975118671,0.0361571426205307
"4",2,"gini",16,0.820298890598891,0.0848089257130631,0.00649693847099947,0.046098671717655
"5",3,"gini",1,0.821399591699592,0.125056011592954,0.00619536408293644,0.0320775612273336
"6",3,"gini",6,0.822099791899792,0.129385494849485,0.00700157878949962,0.0316806841814273
"7",3,"gini",11,0.821100491800492,0.114994245407421,0.00389907815140738,0.0247247370046523
"8",3,"gini",16,0.820999091599092,0.111537697476555,0.00523849003643161,0.0245644982747761
"9",4,"gini",1,0.821998992298992,0.136078529589773,0.00631670988950942,0.0286008528584979
"10",4,"gini",6,0.821898792098792,0.13496182143999,0.0061897614256184,0.0229552005739237
"11",4,"gini",11,0.821999392299392,0.130677505497835,0.00565342862124335,0.0279610772180243
"12",4,"gini",16,0.821799291799292,0.121558317155359,0.00500925586601526,0.0251027986137607
"13",5,"gini",1,0.822601092401092,0.147916173960224,0.00616289475688955,0.029569137707636
"14",5,"gini",6,0.822099192299192,0.138506265374488,0.0055517446261923,0.0227765333983737
"15",5,"gini",11,0.822600092400092,0.136714230146067,0.00484918244032438,0.0264225167670689
"16",5,"gini",16,0.822099291399291,0.134597075527247,0.00709366912164003,0.0353700525488541
"17",6,"gini",1,0.821799392299392,0.144491029634734,0.00568972563283935,0.0277025676078397
"18",6,"gini",6,0.823599392499393,0.14866556861598,0.00674999057268917,0.029752384560565
"19",6,"gini",11,0.823799192899193,0.148940480742518,0.00625665848128277,0.0313131015958917
"20",6,"gini",16,0.822299291799292,0.137667122399081,0.00688257948224134,0.0361863323172915
"21",7,"gini",1,0.822199091599092,0.152539587693536,0.00591222596134335,0.0305252452161386
"22",7,"gini",6,0.823000693000693,0.150127618449267,0.00511053583480765,0.0285078864304034
"23",7,"gini",11,0.822399192699193,0.14397976105422,0.00348116013374249,0.0269996390628456
"24",7,"gini",16,0.821198991298991,0.13699219336922,0.0072329089699217,0.0311305228813147
"25",8,"gini",1,0.822697992297992,0.154205390191444,0.0076502111857577,0.0385719983296732
"26",8,"gini",6,0.823198792498792,0.154318543513483,0.00657793290852859,0.0301462227745108
"27",8,"gini",11,0.822498992298992,0.147148863616041,0.00603465326018445,0.0263656055989785
"28",8,"gini",16,0.821799892199892,0.141421558180353,0.00638990250864078,0.0308719946884862
"29",9,"gini",1,0.821899091599092,0.151556385050282,0.00621836402398101,0.0291290071810588
"30",9,"gini",6,0.822698293398293,0.151478288400583,0.00522686664901834,0.0324960457724632
"31",9,"gini",11,0.823100192300192,0.150435999395803,0.00535182989384506,0.0284704499197633
"32",9,"gini",16,0.821499291399291,0.141240929535291,0.00636518949349783,0.0295656668617892
"33",10,"gini",1,0.821999192299192,0.156246962131206,0.00506116910336788,0.0243224398482772
"34",10,"gini",6,0.822399193099193,0.150122510820526,0.00726009179866349,0.0294776790328479
"35",10,"gini",11,0.822697992697993,0.152040484444441,0.0063502982913873,0.0331825919742208
"36",10,"gini",16,0.822099691799692,0.14669853778136,0.00630204058164445,0.0333626386001215
"37",11,"gini",1,0.821799191899192,0.153901722614096,0.00611060094939552,0.0278420355688844
"38",11,"gini",6,0.821499391699392,0.153986329732472,0.00529542120895671,0.0286745595791785
"39",11,"gini",11,0.822499092999093,0.151753408092288,0.00654079176210873,0.0296536246198606
"40",11,"gini",16,0.820698591098591,0.143515908981738,0.00615408857874151,0.0319589323355767
"41",12,"gini",1,0.821898692198692,0.154397232091711,0.0058614307162797,0.030956163700898
"42",12,"gini",6,0.821999291399291,0.155841129835173,0.00699304341274196,0.0287706492732954
"43",12,"gini",11,0.821299391499391,0.149088950700677,0.00527097123848258,0.0276821549611456
"44",12,"gini",16,0.821498191898192,0.148054999365344,0.00737048569483997,0.0333477328005988
"45",13,"gini",1,0.821598991898992,0.160346050704923,0.00573234383045592,0.0304457159454325
"46",13,"gini",6,0.823200092200092,0.160225910006403,0.00782170609847726,0.0417450998005298
"47",13,"gini",11,0.821900391500392,0.153370320681228,0.0065581980863284,0.034222539722493
"48",13,"gini",16,0.821899392099392,0.150817989044398,0.00550389079496741,0.0298170634876243
"49",14,"gini",1,0.820299591499592,0.154099346627628,0.0056662665870666,0.0235369594423757
"50",14,"gini",6,0.819798491398491,0.145029215169474,0.00625823537305103,0.0212962309875809
"51",14,"gini",11,0.821999391699392,0.152770508740143,0.00677878725965346,0.0303374903029064
"52",14,"gini",16,0.822298991898992,0.155014893729955,0.00666176741187858,0.0266434656764019
"53",15,"gini",1,0.819999191299191,0.154414259115803,0.00615021538942453,0.0289382475856202
"54",15,"gini",6,0.821598291398291,0.155014276917662,0.00848632184049338,0.0363549974422853
"55",15,"gini",11,0.820598391298391,0.147041522077832,0.00634323444094273,0.0268497028208572
"56",15,"gini",16,0.821300692200692,0.150161790318472,0.0054500901093829,0.0264243764167332
"57",16,"gini",1,0.820399191899192,0.15736047389396,0.00568346860650453,0.0237404645347064
"58",16,"gini",6,0.821399192099192,0.155737219831434,0.00712512965479647,0.0374636672342004
"59",16,"gini",11,0.821499291999292,0.155593050986297,0.00593127447013474,0.0296320293180864
"60",16,"gini",16,0.822498791898792,0.158804451557919,0.00581692913981581,0.0276713195286714
"61",17,"gini",1,0.821598991898992,0.160428613480342,0.00617710999901692,0.0265761148785948
"62",17,"gini",6,0.820800191900192,0.156120545533808,0.00558130596890233,0.0238936455360086
"63",17,"gini",11,0.820998691398691,0.152174058091034,0.006057444215646,0.0244752790491994
"64",17,"gini",16,0.820898591498591,0.152909463916383,0.00669548972686098,0.0271933621401943
"65",18,"gini",1,0.820398591498592,0.156731224172889,0.00602815652049451,0.0255352421948671
"66",18,"gini",6,0.821399491599492,0.158442394185417,0.00686210386452428,0.0330098477490753
"67",18,"gini",11,0.820898191298191,0.157219797424046,0.00629993641743214,0.0317122246848167
"68",18,"gini",16,0.821398991898992,0.156353624717331,0.00518199750845926,0.0262285057756505
