"","mtry","splitrule","min.node.size","Accuracy","Kappa","AccuracySD","KappaSD"
"1",2,"gini",1,0.822499157699158,0.111401304808952,0.00325390960102864,0.0233453457880517
"2",2,"gini",5,0.820998556098556,0.102365866321739,0.0050878260256904,0.0331352643768891
"3",2,"gini",10,0.820998356498357,0.0934163404859145,0.00382597544716633,0.0189285776099596
"4",2,"hellinger",1,0.821097956297956,0.0969899295141894,0.00496825943355328,0.0286839858217302
"5",2,"hellinger",5,0.821198256598257,0.0983903238567366,0.00364662619332697,0.0221418548393576
"6",2,"hellinger",10,0.820997556497556,0.0915388650596946,0.00492881411318524,0.0284162840068468
"7",3,"gini",1,0.821697557097557,0.129527219312297,0.00536189164045877,0.0279581497895838
"8",3,"gini",5,0.821697856797857,0.125756682932309,0.00482390785468774,0.0260878388906842
"9",3,"gini",10,0.821597557497557,0.117015043259292,0.00491027508843748,0.0344270609641467
"10",3,"hellinger",1,0.821597556897557,0.125518960400984,0.00486471764799117,0.0272844168277453
"11",3,"hellinger",5,0.822096957096957,0.122235158716255,0.00586672203108726,0.0317336901886301
"12",3,"hellinger",10,0.822398057798058,0.119536164662423,0.00384557248903962,0.024919260843024
"13",4,"gini",1,0.820394955694956,0.131850980873918,0.00787866983507168,0.0421359259292231
"14",4,"gini",5,0.821597557297557,0.137778019504884,0.00477300989898412,0.0265259149522902
"15",4,"gini",10,0.821498857198857,0.127397872680575,0.00459890110621826,0.0275911270644623
"16",4,"hellinger",1,0.821895657395657,0.136870130329298,0.00772081924719588,0.0382095773281002
"17",4,"hellinger",5,0.820996456396456,0.126717127067676,0.00680411756206199,0.0383605924066783
"18",4,"hellinger",10,0.822296857596858,0.127447720816009,0.00554806246886184,0.0329301565561363
"19",5,"gini",1,0.821296956296956,0.140646486360724,0.00610131837345452,0.0351027626272553
"20",5,"gini",5,0.821895756895757,0.141151679475822,0.00673297642463448,0.0334611786048868
