"host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_verifications","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","number_of_reviews","reviews_per_month","review_scores_rating","instant_bookable","fully_booked_30"
"15076054","2014/05/04","within an hour",100,90,"t",2,"['email', 'phone']",-33.9144,18.39161,"Entire home/apt",2,1,0,2,810,4,14,4,1125,219,1.88,4.47,"f","yes"
"428779950","2021/10/24","within an hour",94,99,"t",21,"['email', 'phone']",-33.93835,18.37805,"Entire home/apt",4,2.5,2,2,5582,2,365,2,365,69,3.2,4.8,"t","no"
"228854179","2018/12/03","within a few hours",80,58,"f",1,"['email', 'phone']",-34.212,18.46108,"Entire home/apt",12,3.5,5,9,4521,5,100,5,100,79,1.73,4.91,"f","no"
"34914116","2015/06/03","within an hour",100,89,"f",2,"['email', 'phone']",-34.1171955,18.826765,"Entire home/apt",4,1,2,3,1700,2,365,2.4,365,7,0.63,4.86,"f","no"
"57218261","2016/02/03","within an hour",100,90,"f",176,"['phone']",-33.9604921,18.3843204,"Entire home/apt",2,1,1,1,1261,4,45,2.7,45,2,2,5,"f","no"
"13735439","2014/03/31","within a few hours",100,72,"f",2,"['email', 'phone']",-33.94204,18.42454,"Entire home/apt",4,1.5,2,2,924,2,365,2,365,12,0.96,4.92,"f","no"
"134473003","2017/06/11","within a day",90,58,"f",2,"['email', 'phone', 'work_email']",-33.82720338,18.6488778,"Entire home/apt",2,1,1,1,859,3,365,3.4,365,1,0.26,5,"f","yes"
"654127869","2024/09/26","within a few hours",100,100,"f",1,"['email', 'phone']",-33.9191835,18.4217517,"Entire home/apt",4,2,2,2,2037,2,365,2,1125,4,0.34,4.25,"t","no"
"238828021","2019/01/25","within a day",80,35,"f",3,"['phone']",-34.0136,18.39075,"Entire home/apt",2,1,1,1,641,2,1125,2,1125,10,0.52,5,"f","no"
"375988782","2020/11/17","within an hour",100,80,"f",2,"['email', 'phone']",-33.82466,18.4841,"Entire home/apt",4,1,1,5,1802,3,1125,3,1125,18,0.39,5,"f","no"
"31361707","2015/04/16","within an hour",100,84,"t",63,"['email', 'phone']",-33.9093571,18.3975988,"Entire home/apt",4,2,2,2,3418,3,90,4,365,2,2,5,"f","no"
"217456878","2018/09/26","within an hour",90,100,"f",2,"['email', 'phone']",-33.8091159,18.4692339,"Entire home/apt",5,1,2,3,1209,2,365,2,365,22,2.37,4.64,"t","no"
"679888470","2025/02/20","within an hour",100,100,"f",1,"['email', 'phone']",-33.9176714,18.4215188,"Entire home/apt",2,1,1,1,1195,2,90,2.3,1125,4,0.77,4.5,"t","no"
"532164264","2023/08/16","within an hour",100,100,"f",19,"['email', 'phone']",-33.705,18.44455,"Entire home/apt",10,5,5,6,4565,1,365,2.4,365,11,0.92,4.82,"t","no"
"95717816","2016/09/18","within an hour",100,100,"t",1,"['email', 'phone']",-33.73339,18.43834,"Entire home/apt",2,1,1,2,788,2,31,2,1125,137,1.26,4.91,"t","no"
"550764509","2023/12/13","within an hour",100,100,"t",1,"['email', 'phone']",-33.91632718,18.38998403,"Entire home/apt",2,1,1,1,1343,2,365,2.3,1125,31,1.51,4.84,"t","no"
"48325961","2015/11/06","within an hour",100,96,"t",4,"['email', 'phone', 'work_email']",-34.03737,18.42671,"Private room",2,1,1,1,1354,2,700,2,700,162,1.62,4.99,"f","no"
"138154605","2017/07/02","within an hour",100,90,"t",4,"['email', 'phone']",-34.09933658,18.47417954,"Entire home/apt",2,1,1,1,675,2,365,2,365,2,0.28,5,"f","no"
"450560083","2022/03/21","within an hour",100,100,"f",4,"['email', 'phone']",-33.96908,18.49943,"Entire home/apt",6,2,3,3,3241,1,365,1,365,8,0.58,4.63,"f","yes"
"547163972","2023/11/19","within a day",100,44,"f",1,"['email', 'phone']",-34.02287,18.35882,"Entire home/apt",8,2.5,4,5,4700,5,16,1,16,3,0.29,5,"f","yes"
"71640847","2016/05/12","within an hour",100,71,"f",7,"['email', 'phone']",-34.10237,18.81744,"Entire home/apt",4,1,2,2,1060,2,1125,2,1125,1,0.01,4,"f","no"
"559745160","2024/02/01","within a few hours",83,100,"t",1,"['email', 'phone']",-33.9191619,18.3871124,"Entire home/apt",4,2,2,2,2329,30,365,30,1125,3,0.18,5,"t","no"
"51828083","2015/12/20","within an hour",100,88,"t",1,"['email', 'phone']",-33.9516,18.3876,"Entire home/apt",2,1,1,1,3656,3,21,3.3,1125,100,0.86,5,"f","no"
"317697607","2019/12/15","within an hour",95,100,"t",2,"['email', 'phone']",-34.19694,18.44663,"Entire home/apt",4,1.5,2,3,2636,2,365,2,365,57,3.33,4.88,"t","no"
"735692","2011/06/23","within an hour",100,100,"f",1,"['email', 'phone', 'work_email']",-33.90851947,18.40654024,"Entire home/apt",8,3,4,4,4148,3,365,3.2,1125,26,1.12,4.54,"t","no"
"31628618","2015/04/21","within an hour",100,97,"t",1,"['email', 'phone']",-34.0463661,18.3590857,"Entire home/apt",4,2,1,2,1598,2,1125,2,1125,41,1.15,4.88,"t","no"
"499020463","2023/02/01","within an hour",100,100,"t",1,"['email', 'phone']",-33.9082446,18.4010739,"Entire home/apt",3,1,1,1,1447,1,365,1,365,11,1.02,4.82,"t","no"
"218745893","2018/10/04","within an hour",100,96,"t",148,"['phone', 'work_email']",-33.91591896,18.38955546,"Entire home/apt",5,2,2,3,2148,2,1125,2,1125,16,2.22,4.75,"f","no"
"281646898","2019/08/02","within an hour",100,90,"f",32,"['email', 'phone']",-33.92776,18.42309,"Entire home/apt",2,1,1,1,707,2,1080,2.2,1125,64,1.49,4.75,"f","no"
